filename,disposition,notes
adaptation-decision-contract.md,aspirational,"Describes Extract→Adapt→Improve decision shape. No TS code reads or validates this contract. Pure doctrine prose."
agent-eval-guard.md,aspirational,"Cites pnpm run check:directive-promptfoo-runtime which does not exist in this kernel's package.json. Mission Control checker carryover."
architecture-adoption-criteria.md,enforced,"architecture/lib/adoption/resolution.ts implements resolveArchitectureAdoption per this contract; architecture/lib/adoption/decision-writer.ts and result-adoption.ts wire it into the closeout flow."
architecture-artifact-lifecycle.md,enforced,"architecture/lib/materialization/due-check.ts walks architecture/02-adopted/ per the lifecycle states; architecture/lib/materialization/implementation-target.ts maps -adopted.md → -implementation-target.md per the deep-continuation rule."
architecture-mechanism-packet.md,schema-shaped,"shared/schemas/architecture-mechanism-packet.schema.json already exists. Contract is a field listing + intent; replace markdown with stub linking to the schema and to shared/templates/architecture-mechanism-packet.md."
architecture-review-guardrails.md,enforced,"architecture/lib/adoption/review-resolution.ts implements resolveArchitectureReview per the named guardrails and required prompts. (Note: contract still cites pre-F11 path architecture-review-resolution.ts — stale path needs updating.)"
architecture-self-improvement-contract.md,aspirational,"Defines self-improvement category + cycle evaluation structure. No TS code or schema enforces; no cycle-evaluation tool exists in the kernel."
architecture-to-runtime.md,enforced,"runtime/lib/host/promotion-specification.ts exports DIRECTIVE_RUNTIME_TO_HOST_CONTRACT_PATH constant pointing here; runtime/lib/control/promotion-assistance.ts, engine/coordination/runtime-manual-actions.ts, engine/coordination/autonomous-lane-loop/runtime.ts, scripts/hardening/web-host-checks.ts, hosts/standalone-host/bootstrap.ts and example JSONs all wire to the contract path."
automation-lane-split.md,aspirational,"Cites pnpm run check:directive-gh-aw-contracts which does not exist. Lane-split fields appear in promotion-contract.md but no TS validator."
bounded-literature-monitoring-workflow.md,aspirational,"Describes 5-stage workflow but no TS implementation in runtime/capabilities/literature-access/ matches this stage shape; the digest+degraded schemas are referenced only by the guard contract pair, not by code."
browser-smoke-guard.md,aspirational,"Cites pnpm run check:directive-puppeteer-runtime which does not exist. Mission Control browser-smoke carryover."
citation-set-fallback.md,aspirational,"Cites pnpm run check:directive-citation-contracts which does not exist. shared/schemas/citation-set-artifact.schema.json exists but no TS validator references this contract."
